id,title,release_date,genre_ids,vote_average,vote_count,budget,revenue,directors,production_companies
105864,The Good Dinosaur,2015-11-14,"[12, 16, 10751]",6.7,5622,175000000,332207671,Peter Sohn,"Pixar, Walt Disney Pictures"
352812,Tick Tock Tale,2015-08-18,[16],7.4,110,0,0,Dean Wellins,"Walt Disney Pictures, Walt Disney Animation Studios"
150540,Inside Out,2015-06-17,"[16, 10751, 12, 18, 35]",7.91,22367,175000000,857611174,Pete Docter,"Pixar, Walt Disney Pictures"
158852,Tomorrowland,2015-05-19,"[12, 10751, 9648, 878]",6.279,7034,190000000,209200000,Brad Bird,"Walt Disney Pictures, A113"
678845,The Origins of Plus Ultra,2015-04-24,[16],3.5,2,0,0,Brad Bird,"Walt Disney Pictures, Pixar"
1447091,"Meet the Pickles: The Making of ""Win or Lose""",2025-03-11,[99],6.0,1,0,0,Sarah Dunham,Pixar
1221396,Self,2024-02-01,"[16, 10751, 14]",6.2,37,0,0,Searit Huluf,Pixar
747059,Burrow,2024-01-12,"[16, 10751, 35]",7.4,25,0,0,Madeline Sharafian,Pixar
1174775,Good Chemistry: The Story of Elemental,2023-09-13,[99],6.8,10,0,0,Tony Kaplan,Pixar
1076364,Carl's Date,2023-06-15,"[16, 12, 10751, 35]",7.477,414,0,0,Bob Peterson,Pixar
979163,Beyond Infinity: Buzz and the Journey to Lightyear,2022-06-10,[99],7.0,238,0,0,Tony Kaplan,Pixar
940075,Embrace the Panda: Making Turning Red,2022-03-11,[99],6.9,38,0,0,Erica Milsom,Pixar
897298,Pixar 2021 Disney+ Day Special,2021-11-12,[99],5.368,19,0,0,Pete Docter,Pixar
852721,Nona,2021-08-27,[16],6.348,79,0,0,Louis Gonzales,Pixar
852719,Twenty Something,2021-08-27,"[16, 35, 18]",7.3,81,0,0,Aphton Corbin,Pixar
899613,Automaton,2020-08-24,[16],6.3,3,9859,9859,Krzysztof Rost,Pixar
662666,Forky Asks a Question: What Is Reading?,2020-01-10,"[16, 10751, 35]",5.8,58,0,0,Bob Peterson,Pixar
